"country","year_week","count_deaths","r_deaths","R_epiestim_deaths","count_cases","r_cases","R_epiestim_cases","R_deaths","R_cases"
"Spain","2020-34",226,0.167434251031847,NA,46354,0.0357084746734426,NA,2.48758685829788,1.24915824204092
"Spain","2020-35",222,-0.00255108820000092,NA,57422,0.0305885595678966,NA,0.983512362261467,1.21130829737527
"Spain","2020-36",422,0.0917611331662475,NA,62691,0.0125414845014895,NA,1.71219692660453,1.08360476596452
"Spain","2020-37",332,-0.0342671921599319,NA,68181,0.0119925767134163,NA,0.792414219295266,1.07985846169397
"Spain","2020-38",815,0.128293306332053,NA,77738,0.0187397520930819,NA,2.06412963077714,1.12646942760993
"Spain","2020-39",748,-0.0122550193237693,NA,76798,-0.00173794288052693,NA,0.922311962500771,0.988751971058126
"Spain","2020-40",814,0.0120796268611519,NA,65146,-0.023506813319792,NA,1.08045204244441,0.854382528127332
"Spain","2020-41",899,0.01418895263844,NA,75556,0.0211775997514639,NA,1.09489722289694,1.14361250422587
"Spain","2020-42",868,-0.00501304568732429,NA,85481,0.0176314322651289,NA,0.967753751533196,1.11872880210567
"Spain","2020-43",1039,0.0256888966341253,NA,123871,0.0529923674982548,NA,1.17576175933868,1.38232869717708
"Spain","2020-44",1226,0.0236425893424185,NA,142377,0.0198911096522046,NA,1.16111033716016,1.13454578688011
